{'x': 5.394480056139883, 'y': -0.580467276995845, 'theta': 102.436508885097}
{'x': 5.383808647359098, 'y': -0.5317365072815555, 'theta': 102.4783506671088}
{'x': 5.383808647359098, 'y': -0.5317365072815555, 'theta': 102.4783506671088}
{'x': 5.362599566547285, 'y': -0.4294777271155862, 'theta': 102.38354973183613}
{'x': 5.362599566547285, 'y': -0.4294777271155862, 'theta': 102.38354973183613}
{'x': 5.353027288162494, 'y': -0.32373264165010873, 'theta': 102.22962255694267}
{'x': 5.342525034475726, 'y': -0.27494438178023894, 'theta': 102.25716513219339}
{'x': 5.342525034475726, 'y': -0.27494438178023894, 'theta': 102.25716513219339}
{'x': 5.325888769792405, 'y': -0.2243490943886568, 'theta': 102.54680719829743}
{'x': 5.313529813079974, 'y': -0.17518822577658533, 'theta': 102.6356367337097}
{'x': 5.309415548182777, 'y': -0.12068398093097288, 'theta': 102.46993832300286}
{'x': 5.28794602852657, 'y': -0.023214213311098186, 'theta': 102.50879384580415}
{'x': 5.283430333635011, 'y': 0.029769373212523487, 'theta': 102.20576629712733}
{'x': 5.283430333635011, 'y': 0.029769373212523487, 'theta': 102.20576629712733}
{'x': 5.274563102682346, 'y': 0.07962920621224756, 'theta': 102.14190817431997}
{'x': 5.18883803093139, 'y': 0.5224416526121879, 'theta': 102.16925787829202}
{'x': 5.163395005401657, 'y': 0.6186598129460812, 'theta': 102.43959230723118}
{'x': 5.152699899066523, 'y': 0.6673911655136213, 'theta': 102.47161529081765}
{'x': 5.133732254741508, 'y': 0.7158516207658789, 'theta': 102.98601435654892}
{'x': 5.120445392021731, 'y': 0.7643697939489071, 'theta': 103.13864101209215}
{'x': 5.104516163925113, 'y': 0.8124447501252156, 'theta': 103.56923748252913}
{'x': 5.104516163925113, 'y': 0.8124447501252156, 'theta': 103.56923748252913}
{'x': 5.079882801553207, 'y': 0.9092478622845837, 'theta': 103.71857451336757}
{'x': 5.070127920276274, 'y': 0.9677312658275151, 'theta': 103.70820447274974}
